release_date,region,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili,region_name
2024-10-04,CEN3,202439,202314,77,3894,268793,549,1141.0,1160.0,,849.0,377.0,367.0,1.53085,1.4487,EAST_NORTH_CENTRAL
2024-10-04,CEN4,202439,202314,77,1544,106956,281,445.0,546.0,,293.0,129.0,131.0,1.35961,1.44358,WEST_NORTH_CENTRAL
2024-10-04,CEN5,202439,202314,77,15213,634989,947,4027.0,5630.0,,3173.0,1228.0,1155.0,2.32623,2.39579,SOUTH_ATLANTIC
2024-10-04,CEN6,202439,202314,77,2151,126688,314,622.0,708.0,,496.0,180.0,145.0,1.76194,1.69787,EAST_SOUTH_CENTRAL
2024-10-04,CEN7,202439,202314,77,2491,128649,211,688.0,904.0,,538.0,204.0,157.0,2.28627,1.93628,WEST_SOUTH_CENTRAL
2024-10-04,CEN8,202439,202314,77,3030,146349,329,817.0,990.0,,635.0,280.0,308.0,1.78477,2.07039,MOUNTAIN
2024-10-04,CEN9,202439,202314,77,10626,390337,425,1527.0,2230.0,,3762.0,1652.0,1455.0,2.74427,2.72226,PACIFIC
2024-10-04,CO,202439,202314,77,1333,50114,98,,,,,,,2.65994,2.65994,
2024-10-04,CT,202439,202314,77,706,43037,70,,,,,,,1.64045,1.64045,
2024-10-04,DE,202439,202314,77,104,13069,26,,,,,,,0.795776,0.795776,
2024-10-04,FL,202439,202314,77,7263,259322,359,,,,,,,2.80077,2.80077,
2024-10-04,GA,202439,202314,77,1721,75614,102,,,,,,,2.27603,2.27603,
2024-10-04,HI,202439,202314,77,885,34241,39,,,,,,,2.58462,2.58462,
2024-10-04,IA,202439,202314,77,42,4956,15,,,,,,,0.847458,0.847458,
2024-10-04,ID,202439,202314,77,87,8237,29,,,,,,,1.05621,1.05621,
2024-10-04,IL,202439,202314,77,1252,72127,180,,,,,,,1.73583,1.73583,
2024-10-04,IN,202439,202314,77,753,54750,103,,,,,,,1.37534,1.37534,
2024-10-04,KS,202439,202314,77,164,17212,33,,,,,,,0.952824,0.952824,
2024-10-04,KY,202439,202314,77,532,33365,76,,,,,,,1.59449,1.59449,
2024-10-04,LA,202439,202314,77,550,42534,87,,,,,,,1.29308,1.29308,
2024-10-04,MA,202439,202314,77,1251,78577,95,,,,,,,1.59207,1.59207,
2024-10-04,MD,202439,202314,77,811,43036,65,,,,,,,1.88447,1.88447,
2024-10-04,ME,202439,202314,77,145,13632,47,,,,,,,1.06367,1.06367,
2024-10-04,MI,202439,202314,77,911,83484,153,,,,,,,1.09123,1.09123,
2024-10-04,MN,202439,202314,77,455,29910,67,,,,,,,1.52123,1.52123,
2024-10-04,MO,202439,202314,77,374,27978,41,,,,,,,1.33676,1.33676,
2024-10-04,MS,202439,202314,77,274,12702,32,,,,,,,2.15714,2.15714,
2024-10-04,MT,202439,202314,77,89,7717,28,,,,,,,1.1533,1.1533,
2024-10-04,NC,202439,202314,77,1527,89118,139,,,,,,,1.71346,1.71346,
2024-10-04,ND,202439,202314,77,55,3069,9,,,,,,,1.79211,1.79211,
2024-10-04,NE,202439,202314,77,378,15526,84,,,,,,,2.43463,2.43463,
2024-10-04,NH,202439,202314,77,16,1262,9,,,,,,,1.26783,1.26783,
2024-10-04,NJ,202439,202314,77,975,27600,31,,,,,,,3.53261,3.53261,
2024-10-04,NM,202439,202314,77,720,22005,39,,,,,,,3.27198,3.27198,
2024-10-04,NV,202439,202314,77,123,17258,31,,,,,,,0.712713,0.712713,
2024-10-04,NY_MINUS_JFK,202439,202314,77,1056,54609,121,,,,,,,1.93375,1.93375,
2024-10-04,OH,202439,202314,77,722,37349,79,,,,,,,1.93312,1.93312,
2024-10-04,OK,202439,202314,77,373,17563,35,,,,,,,2.12378,2.12378,
2024-10-04,OR,202439,202314,77,483,39821,89,,,,,,,1.21293,1.21293,
2024-10-04,PA,202439,202314,77,560,47319,98,,,,,,,1.18346,1.18346,
2024-10-04,RI,202439,202314,77,128,13280,23,,,,,,,0.963855,0.963855,
2024-10-04,SC,202439,202314,77,717,34703,38,,,,,,,2.0661,2.0661,
2024-10-04,SD,202439,202314,77,76,8305,32,,,,,,,0.915111,0.915111,
2024-10-04,TN,202439,202314,77,639,33903,100,,,,,,,1.88479,1.88479,
2024-10-04,TX,202439,202314,77,1406,54501,44,,,,,,,2.57977,2.57977,
2024-10-04,UT,202439,202314,77,381,17076,48,,,,,,,2.2312,2.2312,
2024-10-04,VA,202439,202314,77,2613,104494,173,,,,,,,2.50062,2.50062,
2024-10-04,VT,202439,202314,77,33,5537,14,,,,,,,0.595991,0.595991,
2024-10-04,WA,202439,202314,77,648,43970,72,,,,,,,1.47373,1.47373,
2024-10-04,WI,202439,202314,77,256,21083,34,,,,,,,1.21425,1.21425,
2024-10-04,WV,202439,202314,77,184,9749,41,,,,,,,1.88737,1.88737,
2024-10-04,WY,202439,202314,77,26,2188,13,,,,,,,1.1883,1.1883,
2024-10-04,AK,202439,202315,76,81,3563,12,,,,,,,2.27337,2.27337,
2024-10-04,AL,202439,202315,76,750,46751,104,,,,,,,1.60424,1.60424,
2024-10-04,AR,202439,202315,76,159,14737,46,,,,,,,1.07892,1.07892,
2024-10-04,AZ,202439,202315,76,330,23479,43,,,,,,,1.40551,1.40551,
2024-10-04,CA,202439,202315,76,8204,271461,206,,,,,,,3.02217,3.02217,
2024-10-04,CEN1,202439,202315,76,2283,158304,256,490.0,826.0,,502.0,218.0,247.0,1.37352,1.44216,NEW_ENGLAND
2024-10-04,CEN2,202439,202315,76,6368,251742,366,1808.0,2038.0,,1672.0,457.0,393.0,2.18176,2.52957,MID_ATLANTIC
2024-10-04,CEN3,202439,202315,76,3658,278045,551,1100.0,1112.0,,803.0,306.0,337.0,1.40994,1.31561,EAST_NORTH_CENTRAL
2024-10-04,CEN4,202439,202315,76,1379,113586,281,399.0,536.0,,243.0,100.0,101.0,1.20013,1.21406,WEST_NORTH_CENTRAL
2024-10-04,CEN5,202439,202315,76,14787,636250,947,3826.0,5364.0,,3321.0,1152.0,1124.0,2.24002,2.32409,SOUTH_ATLANTIC
2024-10-04,CEN6,202439,202315,76,2188,130799,309,617.0,771.0,,484.0,182.0,134.0,1.71656,1.6728,EAST_SOUTH_CENTRAL
